field_id	documents	values	value_status
C.978	30	30	parse_error=3;reported=27
C.979	30	30	parse_error=4;reported=26
C.980	39	39	parse_error=2;reported=37
C.981	72	72	parse_error=7;reported=65
C.982	70	70	parse_error=6;reported=64
C.983	66	66	parse_error=8;reported=58
C.984	59	59	parse_error=6;reported=53
C.985	53	53	parse_error=7;reported=46
C.986	48	48	parse_error=3;reported=45
C.987	39	39	parse_error=1;reported=38
C.988	44	44	parse_error=6;reported=38
C.989	41	41	parse_error=6;reported=35
C.990	38	38	parse_error=6;reported=32
C.991	34	34	parse_error=5;reported=29
C.992	31	31	parse_error=6;reported=25
C.993	27	27	parse_error=3;reported=24
C.994	15	15	parse_error=3;reported=12
D.1001	146	146	not_applicable=7;parse_error=2;reported=137
D.101	176	176	parse_error=1;reported=175
D.102	158	158	parse_error=1;reported=157
D.1101	249	249	not_applicable=2;parse_error=2;reported=245
D.1201	82	82	parse_error=38;reported=44
D.1301	151	151	not_applicable=4;parse_error=2;reported=145
D.1302	143	143	not_applicable=2;parse_error=68;reported=73
D.1401	136	136	not_applicable=3;parse_error=2;reported=131
D.1402	130	130	not_applicable=2;parse_error=62;reported=66
D.1501	56	56	not_applicable=5;parse_error=1;reported=50
D.1502	13	13	parse_error=13
D.1601	245	245	reported=245
D.1602	39	39	parse_error=39
D.1701	19	19	not_applicable=2;parse_error=3;reported=14
D.1801	183	183	not_applicable=1;parse_error=2;reported=180
D.1802	190	190	not_applicable=3;parse_error=3;reported=184
D.1803	173	173	not_applicable=3;parse_error=2;reported=168
D.1901	101	101	not_applicable=3;parse_error=2;reported=96
D.1902	91	91	not_applicable=2;reported=89
D.2001	116	116	not_applicable=2;parse_error=3;reported=111
D.2002	105	105	not_applicable=1;reported=104
D.201	371	371	parse_error=2;reported=369
D.202	381	381	parse_error=2;reported=379
D.203	183	183	parse_error=4;reported=179
D.204	414	414	parse_error=5;reported=409
D.205	377	377	parse_error=3;reported=374
D.206	376	376	parse_error=3;reported=373
D.207	252	252	parse_error=3;reported=249
D.208	370	370	parse_error=2;reported=368
D.209	360	360	parse_error=24;reported=336
D.210	388	388	parse_error=4;reported=384
D.2101	171	171	not_applicable=1;parse_error=1;reported=169
D.2102	236	236	not_applicable=1;parse_error=1;reported=234
D.211	250	250	parse_error=4;reported=246
D.212	444	444	parse_error=3;reported=441
D.213	26	26	parse_error=3;reported=23
D.214	49	49	parse_error=2;reported=47
D.215	86	86	parse_error=2;reported=84
D.2201	246	246	not_applicable=4;parse_error=2;reported=240
D.2202	4	4	not_applicable=1;reported=3
D.301	361	361	reported=361
D.302	53	53	reported=53
D.303	323	323	reported=323
D.304	173	173	not_applicable=1;reported=172
D.401	272	272	parse_error=29;reported=243
D.402	81	81	not_applicable=2;parse_error=6;reported=73
D.403	70	70	not_applicable=2;reported=68
D.501	401	401	not_applicable=8;reported=393
D.502	421	421	not_applicable=1;reported=420
D.503	407	407	not_applicable=256;reported=151
D.504	389	389	not_applicable=310;reported=79
D.505	387	387	not_applicable=288;reported=99
D.506	397	397	not_applicable=260;reported=137
D.601	31	31	not_applicable=6;reported=25
D.701	242	242	not_applicable=1;reported=241
D.801	267	267	not_applicable=3;parse_error=1;reported=263
D.901	27	27	reported=27
D.902	22	22	not_applicable=1;reported=21
D.903	11	11	not_applicable=1;reported=10
D.904	9	9	not_applicable=1;reported=8
D.905	33	33	reported=33
D.906	19	19	not_applicable=1;reported=18
D.907	19	19	reported=19
D.908	14	14	not_applicable=1;reported=13
D.909	275	275	not_applicable=1;reported=274
D.910	268	268	not_applicable=1;reported=267
D.911	12	12	not_applicable=2;reported=10
D.912	14	14	not_applicable=2;reported=12
D.913	218	218	not_applicable=1;reported=217
D.914	212	212	not_applicable=1;reported=211
D.915	22	22	not_applicable=1;reported=21
D.916	19	19	not_applicable=1;reported=18
D.917	130	130	not_applicable=1;reported=129
D.918	125	125	not_applicable=1;reported=124
D.919	13	13	not_applicable=2;reported=11
D.920	12	12	not_applicable=2;reported=10
D.921	80	80	reported=80
D.922	80	80	reported=80
D.923	3	3	reported=3
D.924	3	3	reported=3
D.925	48	48	reported=48
D.926	48	48	reported=48
D.927	1	1	not_applicable=1
D.928	1	1	not_applicable=1
D.929	34	34	reported=34
D.930	34	34	reported=34
D.931	3	3	reported=3
D.932	3	3	reported=3
D.933	133	133	reported=133
D.934	7	7	reported=7
D.935	135	135	reported=135
D.936	16	16	reported=16
E.101	289	289	reported=289
E.102	116	116	reported=116
E.103	260	260	reported=260
E.104	318	318	reported=318
E.105	418	418	reported=418
E.106	286	286	reported=286
E.107	215	215	reported=215
E.108	228	228	reported=228
E.109	63	63	reported=63
E.110	362	362	reported=362
E.111	416	416	reported=416
E.112	404	404	reported=404
E.113	209	209	reported=209
E.114	340	340	reported=340
E.115	434	434	reported=434
E.116	367	367	reported=367
E.117	380	380	reported=380
E.118	82	82	reported=82
E.119	105	105	reported=105
E.120	56	56	reported=56
E.301	295	295	reported=295
E.302	105	105	reported=105
E.303	357	357	reported=357
E.304	214	214	reported=214
E.305	233	233	reported=233
E.306	87	87	reported=87
E.307	365	365	reported=365
E.308	206	206	reported=206
E.309	365	365	reported=365
E.310	158	158	reported=158
E.311	378	378	reported=378
E.312	376	376	reported=376
E.313	142	142	reported=142
E.314	119	119	reported=119
F.101	466	466	parse_error=6;reported=460
F.102	306	306	not_applicable=3;parse_error=3;reported=300
F.103	309	309	not_applicable=2;parse_error=3;reported=304
F.104	373	373	parse_error=4;reported=369
F.105	422	422	parse_error=2;reported=420
